narrator,questType,instanceIndex,seed,location,targetFlavour,timeOfDay,requiredCount,len,self_bleu,cover_any,cover_exact,latencyMs,jsonValid,usedFallback,title,description
LLM,Fetch,34,42034,荒废的寺庙,供奉用的香油,黄昏,2,213,0.4115,3,2,11152,True,False,荒寺香油,黄昏时分，你踏进这座荒废的寺庙。残破的佛坛前，几盏香油灯幽幽闪烁。神子曾言，那诱人饮下水中不死之力的妄念，正是从供奉的香油中滋生。唯有将这些香油尽数收集，才能助她斩断诅咒根源。四周隐约传来低语，似乎有什么东西在暗处窥视——你必须在夜幕完全降临前，取走所有香油。
Template,Fetch,35,42035,结冰的池畔,封印用的符纸,雨夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,35,42035,结冰的池畔,封印用的符纸,雨夜,4,58,0.9652,3,3,0,True,False,急需之物,雨夜，村口的老妪拦住了你，请设法在结冰的池畔取得 4 份封印用的符纸。
LLM,Fetch,35,42035,结冰的池畔,封印用的符纸,雨夜,4,99,0.4968,3,3,3031,True,False,霜池符印,雨夜，结冰的池畔，封印用的符纸在寒风中飘摇。为了斩断“不死”，必须收集这些符纸，它们被遗落在冰面上，似乎被某种力量保护着。
Template,Fetch,36,42036,竹林小径,药引,大雪初霁,3,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 3 件补给，请设法取得。
TemplateRandom,Fetch,36,42036,竹林小径,药引,大雪初霁,3,60,0.9294,3,3,0,True,False,芦苇之国所需,大雪初霁，药铺的伙计面露难色，望你前往竹林小径，寻回 3 件药引。
LLM,Fetch,36,42036,竹林小径,药引,大雪初霁,3,193,0.3508,3,3,5345,True,False,竹林中的药引,大雪初霁，竹林小径一片银白。传闻昔日神子曾在此处埋下三种药引，用以克制“不死”之毒。唯有集齐这些药引，才能斩断那令人疯狂的诅咒。你踏雪而行，脚下咯吱作响，目光扫过每一根竹竿——那些药引就藏在这片静谧的雪竹之中。
Template,Fetch,37,42037,敌军的哨所,止血草,正午,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,37,42037,敌军的哨所,止血草,正午,2,52,0.8412,3,3,0,True,False,急需之物,正午，长老差人前来，需要 2 份止血草，敌军的哨所或许还能寻到。
LLM,Fetch,37,42037,敌军的哨所,止血草,正午,2,172,0.2962,3,2,4682,True,False,哨所取药,正午时分，敌军哨所的守卫警惕松懈，正是潜入良机。神子伤势未愈，急需哨所内储存的止血草。据说那些草药曾被瀑布之水浸润过，带着微弱的不死气息，但救人要紧。你必须在守卫换岗前取得至少两份药物。
Template,Fetch,38,42038,竹林小径,火药壶,深夜,5,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 5 件补给，请设法取得。
TemplateRandom,Fetch,38,42038,竹林小径,火药壶,深夜,5,61,0.8046,3,3,0,True,False,芦苇之国所需,深夜，神子身边的侍从传令，若能从竹林小径凑齐 5 个火药壶便好。
LLM,Fetch,38,42038,竹林小径,火药壶,深夜,5,156,0.3344,3,3,3730,True,False,竹林暗夜取火药,深夜的竹林小径，月光被竹叶切割成碎片，洒落一地。据说这里藏着制作不死火药的关键——火药壶，那是唯一能摧毁不死之躯的利器。但竹林深处传来低沉的咆哮，显然有不死的守护者徘徊其间。
Template,Fetch,39,42039,敌军的哨所,供奉用的香油,大雪初霁,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,39,42039,敌军的哨所,供奉用的香油,大雪初霁,4,64,0.7709,3,3,0,True,False,急需之物,大雪初霁，药铺的伙计面露难色，望你前往敌军的哨所，寻回 4 件供奉用的香油。
LLM,Fetch,39,42039,敌军的哨所,供奉用的香油,大雪初霁,4,137,0.4222,3,2,5301,True,False,雪中取香,大雪初霁，敌军哨所的屋顶覆着银白。供奉用的香油，是敌军祭祀‘不死’之力的圣物——但神子要斩断这一切。作为影子，你需潜入哨所，将四份香油全部取走，断绝他们的仪式。
Template,Fetch,40,42040,竹林小径,干粮袋,拂晓时分,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,40,42040,竹林小径,干粮袋,拂晓时分,2,55,0.9113,3,3,0,True,False,芦苇之国所需,拂晓时分，村中医者托人带话，眼下急缺 2 个干粮袋，听说竹林小径一带有。
LLM,Fetch,40,42040,竹林小径,干粮袋,拂晓时分,2,107,0.3013,3,1,3429,True,False,拂晓的干粮,拂晓的微光透过竹林，洒在小径上。你想起神子可能正饥肠辘辘，而前方依稀可见几个干粮袋散落在落叶间——这是通往瀑布之路上最后的补给。
Template,Fetch,41,42041,瀑布下的水潭,药引,黄昏,5,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 5 件补给，请设法取得。
TemplateRandom,Fetch,41,42041,瀑布下的水潭,药引,黄昏,5,51,0.848,3,3,0,True,False,采买委托,黄昏，寺中僧人捎来口信，若能从瀑布下的水潭凑齐 5 个药引便好。
LLM,Fetch,41,42041,瀑布下的水潭,药引,黄昏,5,116,0.4371,3,2,5725,True,False,黄昏的药引,夕阳将瀑布染成血色，水潭深处泛着诡异的光芒。为了斩断不死诅咒，神子命你取来五份药引——那是从瀑布水潭中生长的血色苔藓，只在黄昏时分显露。
Template,Fetch,42,42042,断崖边的栈道,止血草,雨夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,42,42042,断崖边的栈道,止血草,雨夜,4,50,0.8853,3,3,0,True,False,取物任务,雨夜，村口的老妪拦住了你，请设法在断崖边的栈道取得 4 份止血草。
LLM,Fetch,42,42042,断崖边的栈道,止血草,雨夜,4,164,0.3785,3,3,4366,True,False,雨夜寻草,雨夜，断崖边的栈道湿滑难行。传闻中，不死瀑布附近的止血草能暂时缓解饮下毒水后的癫狂，但生长在绝壁之上。神子若要斩断不死，或许需要这些草药来克制那些因渴望永生而迷失的国民。
Template,Fetch,43,42043,瀑布下的水潭,供奉用的香油,拂晓时分,3,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 3 件补给，请设法取得。
TemplateRandom,Fetch,43,42043,瀑布下的水潭,供奉用的香油,拂晓时分,3,68,0.8901,3,3,0,True,False,采买委托,拂晓时分，村中医者托人带话，眼下急缺 3 个供奉用的香油，听说瀑布下的水潭一带有。
LLM,Fetch,43,42043,瀑布下的水潭,供奉用的香油,拂晓时分,3,123,0.4895,3,3,3937,True,False,拂晓香油,拂晓时分，瀑布下的水潭泛着微光。岸边摆着几罐供奉用的香油——那是痴迷永生之人献给瀑布之神的祭品。为了帮助神子斩断‘不死’的诅咒，你需要收集这些香油，作为仪式所需。
Template,Fetch,44,42044,断崖边的栈道,封印用的符纸,正午,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,44,42044,断崖边的栈道,封印用的符纸,正午,2,59,0.9042,3,3,0,True,False,取物任务,正午，长老差人前来，需要 2 份封印用的符纸，断崖边的栈道或许还能寻到。
LLM,Fetch,44,42044,断崖边的栈道,封印用的符纸,正午,2,133,0.4129,3,1,3979,True,False,栈道取符,正午烈日高悬，断崖栈道被晒得发烫。传闻此地封印着昔日饮下瀑布之水而狂暴的怪物，符纸便是镇压的关键。神子需要这些符纸来强化封印，但栈道危险，怪物仍在徘徊。
Template,Fetch,45,42045,瀑布下的水潭,干粮袋,深夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,45,42045,瀑布下的水潭,干粮袋,深夜,4,62,0.9212,3,3,0,True,False,采买委托,深夜，神子身边的侍从传令，请设法在瀑布下的水潭取得 4 份干粮袋。
LLM,Fetch,45,42045,瀑布下的水潭,干粮袋,深夜,4,228,0.2802,3,2,4226,True,False,深潭觅信物,深夜的瀑布水潭泛着诡异的磷光，折射出不死之水的妖异。你悄然潜入，发现一只干粮袋搁在岸边岩石上——那是神子被掳前随身携带之物。袋中或许藏有通往主人下落的关键线索，但四周弥漫着失去理智的怪物气息，你必须迅速行动。
Template,Fetch,46,42046,断崖边的栈道,药引,大雪初霁,3,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 3 件补给，请设法取得。
TemplateRandom,Fetch,46,42046,断崖边的栈道,药引,大雪初霁,3,61,0.7965,3,3,0,True,False,取物任务,大雪初霁，药铺的伙计面露难色，望你前往断崖边的栈道，寻回 3 件药引。
LLM,Fetch,46,42046,断崖边的栈道,药引,大雪初霁,3,151,0.3667,3,2,3829,True,False,雪崖药引,大雪初霁，断崖栈道上覆着薄冰，每一步都令人胆寒。神子的不死斩需要三种药引，而第一种就藏在这片被雪覆盖的险峻栈道之间。那药引据说是瀑布边生长的朱红草，但冬日雪封，唯有仔细搜寻才能找到。
Template,Fetch,47,42047,芦苇城下,火药壶,正午,2,46,1.0,1,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,47,42047,芦苇城下,火药壶,正午,2,53,0.9239,3,3,0,True,False,采买委托,正午，长老差人前来，需要 2 份火药壶，芦苇城下或许还能寻到。
LLM,Fetch,47,42047,芦苇城下,火药壶,正午,2,173,0.3917,3,3,5525,True,False,城下的火药壶,正午时分，芦苇城下阳光炙烈。你穿过破败的市集，目光落在了一口火药壶上——这是神子打破不死诅咒所需的关键之物。但仅此一个远远不够，神子需要两个火药壶才能点燃通往真相的道路。你必须在喧嚣的街道间再寻另一只。
Template,Fetch,48,42048,被焚毁的村落,供奉用的香油,黄昏,5,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 5 件补给，请设法取得。
TemplateRandom,Fetch,48,42048,被焚毁的村落,供奉用的香油,黄昏,5,66,0.7993,3,3,0,True,False,取物任务,黄昏，寺中僧人捎来口信，若能从被焚毁的村落凑齐 5 个供奉用的香油便好。
LLM,Fetch,48,42048,被焚毁的村落,供奉用的香油,黄昏,5,256,0.3442,3,3,5040,True,False,焚村香油,黄昏笼罩着被焚毁的村落，断壁残垣间弥漫着焦灼的气息。那些因饮下瀑布之水而失控的怪物，曾在此处疯狂屠戮。村民们在绝望中点燃了村落，试图以烈火净化诅咒。然而，供奉用的香油在火灾中散落一地，它们曾是祈求不死之力的媒介，如今却成了怪物们觊觎的目标。影子必须赶在黑暗完全降临前，收集这些残留的香油，以防它们落入怪物之手，助长不死之祸。
Template,Fetch,49,42049,芦苇城下,封印用的符纸,雨夜,4,46,1.0,1,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,49,42049,芦苇城下,封印用的符纸,雨夜,4,55,0.8818,3,3,0,True,False,寻物之托,雨夜，村口的老妪拦住了你，望你前往芦苇城下，寻回 4 件封印用的符纸。
LLM,Fetch,49,42049,芦苇城下,封印用的符纸,雨夜,4,148,0.4803,3,3,3868,True,False,雨夜符纸,雨夜笼罩的芦苇城下，阴湿的石板路映着水光。为了斩断不死之咒，需要收集散落在城下的封印符纸。这些符纸被雨水浸透，却仍散发着微弱的光，仿佛在召唤着能利用它们的人。
Template,Fetch,50,42050,被焚毁的村落,药引,拂晓时分,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,50,42050,被焚毁的村落,药引,拂晓时分,2,56,0.817,3,3,0,True,False,补给征集,拂晓时分，村中医者托人带话，眼下急缺 2 个药引，听说被焚毁的村落一带有。
LLM,Fetch,50,42050,被焚毁的村落,药引,拂晓时分,2,181,0.4314,3,2,4233,True,False,拂晓药引,拂晓的微光洒在被焚毁的村落废墟上，空气中弥漫着焦土与血腥的气息。芦苇之国的人们为追求不死而堕落，如今这里只剩怪物的嘶吼与残骸。神子大人需要一种特殊的药引，以斩断这不死的诅咒。据说这药引就藏在村落的某处，但在黎明之前，必须完成收集。
Template,Fetch,51,42051,芦苇城下,止血草,黄昏,5,46,1.0,1,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 5 件补给，请设法取得。
TemplateRandom,Fetch,51,42051,芦苇城下,止血草,黄昏,5,48,0.8072,3,3,0,True,False,寻物之托,黄昏，寺中僧人捎来口信，若能从芦苇城下凑齐 5 个止血草便好。
LLM,Fetch,51,42051,芦苇城下,止血草,黄昏,5,182,0.4475,3,3,6215,True,False,黄昏城下采药,黄昏的余晖洒在芦苇城下的废墟间，空气中弥漫着淡淡的水腥味——那是从瀑布飘来的不死之水的气味。据说饮下它的人会化为怪物，但止血草或许能暂时压制那种疯狂。为了拯救神子，你必须在夜幕完全降临前找到足够的草药。
Template,Fetch,52,42052,结冰的池畔,火药壶,深夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,52,42052,结冰的池畔,火药壶,深夜,4,52,0.8216,3,3,0,True,False,补给征集,深夜，神子身边的侍从传令，请设法在结冰的池畔取得 4 份火药壶。
LLM,Fetch,52,42052,结冰的池畔,火药壶,深夜,4,173,0.4112,3,3,5166,True,False,冰湖夜火,深夜的芦苇之国，结冰的池畔映着冷月。为了斩断‘不死’的诅咒，神子命你收集四样关键之物。其中一件——藏在这冰湖之下的火药壶，据说是昔日痴迷瀑布之水者用以提炼‘永生’之源的器具。然而，冰面之下隐约可见的扭曲身影，提醒着那水带来的疯狂。
Template,Fetch,53,42053,荒废的寺庙,供奉用的香油,大雪初霁,3,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 3 件补给，请设法取得。
TemplateRandom,Fetch,53,42053,荒废的寺庙,供奉用的香油,大雪初霁,3,67,0.9365,3,3,0,True,False,寻物之托,大雪初霁，药铺的伙计面露难色，眼下急缺 3 个供奉用的香油，听说荒废的寺庙一带有。
LLM,Fetch,53,42053,荒废的寺庙,供奉用的香油,大雪初霁,3,117,0.4487,3,3,3809,True,False,雪寺香油,大雪初霁，荒废的寺庙在雪中静默。据说这里有供奉用的香油，曾是村民为祈求不死而献上的贡品。但如今，这些香油只会助长‘不死’的诅咒。影子需要将它们收集起来，以免被他人误用。
Template,Fetch,54,42054,结冰的池畔,干粮袋,正午,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,54,42054,结冰的池畔,干粮袋,正午,2,54,0.8945,3,3,0,True,False,补给征集,正午，长老差人前来，需要 2 份干粮袋，结冰的池畔或许还能寻到。
LLM,Fetch,54,42054,结冰的池畔,干粮袋,正午,2,149,0.3282,3,3,4885,True,False,冰池祭粮,正午时分，结冰的池畔在芦苇之国的冬阳下泛着冷光。据说曾有痴迷不死的村民在此处向瀑布之灵供奉干粮袋，欲换得永生之水，却终成疯狂怪物。如今池畔遗留着一只干粮袋，其内或许藏有神子所需的线索。
Template,Fetch,55,42055,荒废的寺庙,药引,深夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,55,42055,荒废的寺庙,药引,深夜,4,56,0.9858,3,3,0,True,False,寻物之托,深夜，神子身边的侍从传令，请设法在荒废的寺庙取得 4 份药引。
LLM,Fetch,55,42055,荒废的寺庙,药引,深夜,4,120,0.3662,3,2,3672,True,False,深夜药引,深夜的荒废寺庙中，月光透过破败的屋顶洒下，照亮了满地的碎石与枯草。传说中，唯有这里生长的某种异草，才能作为斩断‘不死’的药引。但要在漆黑的寺院中找到足够的份量，绝非易事。
Template,Fetch,56,42056,结冰的池畔,止血草,雨夜,3,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 3 件补给，请设法取得。
TemplateRandom,Fetch,56,42056,结冰的池畔,止血草,雨夜,3,55,0.8125,3,3,0,True,False,急需之物,雨夜，村口的老妪拦住了你，望你前往结冰的池畔，寻回 3 件止血草。
LLM,Fetch,56,42056,结冰的池畔,止血草,雨夜,3,173,0.3325,3,3,6691,True,False,雨夜冰池采药,雨点打在结冰的池面上，发出细碎的声响。神子告诉我，要斩断不死，需要一种名为止血草的药草，它只在最寒冷的池塘边生长。但是雨夜的视线模糊，而且附近似乎有被不死之水侵蚀的怪物出没。我必须小心采集足够的止血草，才能为接下来的行动做准备。
Template,Fetch,57,42057,荒废的寺庙,火药壶,拂晓时分,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,57,42057,荒废的寺庙,火药壶,拂晓时分,2,64,0.9457,3,3,0,True,False,芦苇之国所需,拂晓时分，村中医者托人带话，需要 2 份火药壶，荒废的寺庙或许还能寻到。
LLM,Fetch,57,42057,荒废的寺庙,火药壶,拂晓时分,2,141,0.4539,3,3,3548,True,False,拂晓下的火药壶,拂晓时分，荒废的寺庙笼罩在薄雾中。影子潜入破败的大殿，目光落在角落的火药壶上——这是主人神子斩断“不死”的关键工具。但仅有一个不够，还需再寻一个才能炸开阻挡前路的障碍。
Template,Fetch,58,42058,敌军的哨所,封印用的符纸,黄昏,5,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 5 件补给，请设法取得。
TemplateRandom,Fetch,58,42058,敌军的哨所,封印用的符纸,黄昏,5,63,0.8428,3,3,0,True,False,急需之物,黄昏，寺中僧人捎来口信，若能从敌军的哨所凑齐 5 个封印用的符纸便好。
LLM,Fetch,58,42058,敌军的哨所,封印用的符纸,黄昏,5,190,0.2844,3,1,4079,True,False,哨所之黄昏封印,暮色笼罩敌军哨所，暗影中可见木柱上贴满泛黄的符纸，那是敌人用来封印某物的咒印。神子曾说，斩断不死需先破除这些封印。你悄无声息地潜入，指尖拂过粗糙的纸面，感受其中微弱的力量——这些符纸正是关键的封印之物。
Template,Fetch,59,42059,竹林小径,干粮袋,雨夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,59,42059,竹林小径,干粮袋,雨夜,4,53,0.8924,3,3,0,True,False,芦苇之国所需,雨夜，村口的老妪拦住了你，望你前往竹林小径，寻回 4 件干粮袋。
LLM,Fetch,59,42059,竹林小径,干粮袋,雨夜,4,142,0.3797,3,3,5449,True,False,雨夜的干粮,雨夜，竹林小径泥泞难行。为了支持漫长的旅程，神子命令你在附近的哨所寻找补给。据说一个废弃的营地里还留有干粮袋，但雨夜的竹林常有堕入不死道途的怪物出没。
Template,Boss,60,42060,敌军的哨所,无首骑将,拂晓时分,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,60,42060,敌军的哨所,无首骑将,拂晓时分,1,64,0.9877,3,3,0,True,False,宿敌,拂晓时分，芦苇之国传来消息，名为无首骑将的强敌正盘踞敌军的哨所。
LLM,Boss,60,42060,敌军的哨所,无首骑将,拂晓时分,1,219,0.4415,3,1,4672,True,False,拂晓斩首,拂晓的雾气尚未散去，敌军营寨的轮廓在晨光中若隐若现。据报，敌军哨所由一名无首骑将镇守——他本是芦苇之国的武士，为追求永生饮下瀑布之水，却成了无头的不死怪物，效命于入侵者。他胯下的战马喷吐着腐臭的蒸汽，徘徊在哨所前。若想救出神子，必须先拔掉这颗钉子。
Template,Boss,61,42061,竹林小径,溺影,正午,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,61,42061,竹林小径,溺影,正午,1,42,0.9765,3,3,0,True,False,强敌当前,正午，探子拼死带回情报，溺影正在竹林小径等待着挑战者。
LLM,Boss,61,42061,竹林小径,溺影,正午,1,149,0.6127,3,2,4320,True,False,正午竹林斩溺影,正午的烈日穿透竹林，在小径上投下斑驳光影。你追踪着水流声，却见一个扭曲的身影——溺影，他曾是渴望不死的村民，如今因瀑布之水化为怪物，低吼着徘徊于此。他的眼中没有理智，只有对生者的怨恨。
Template,Boss,62,42062,敌军的哨所,枯苇之主,深夜,1,39,1.0,1,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,62,42062,敌军的哨所,枯苇之主,深夜,1,67,0.8661,3,3,0,True,False,宿敌,深夜，神子神色凝重地告知，枯苇之主挡在了通往敌军的哨所深处的路上。
LLM,Boss,62,42062,敌军的哨所,枯苇之主,深夜,1,172,0.5032,3,3,4816,True,False,斩断不死之苇,深夜的芦苇之国，敌军的哨所隐没在月光之外。枯苇之主——这个被瀑布之水侵蚀的昔日武士，如今已成为不死的怪物，盘踞在哨所深处。你深知，唯有击败他，才能扫清前路，并斩断这场由不死之咒引发的灾祸。
Template,Boss,63,42063,断崖边的栈道,无首骑将,大雪初霁,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,63,42063,断崖边的栈道,无首骑将,大雪初霁,1,50,0.9682,3,3,0,True,False,生死之约,大雪初霁，寺中钟声骤响，名为无首骑将的强敌正盘踞断崖边的栈道。
LLM,Boss,63,42063,断崖边的栈道,无首骑将,大雪初霁,1,159,0.6052,3,3,3760,True,False,断崖雪霁之战,大雪初霁，断崖边的栈道上积满薄雪。一名无首骑将拦住了去路——它曾是芦苇之国的将军，为求永生饮下瀑布之水，如今化作不死怪物，在雪中徘徊。它的马蹄踏碎栈道木板，似乎要阻止任何人通过。
Template,Boss,64,42064,瀑布下的水潭,溺影,正午,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,64,42064,瀑布下的水潭,溺影,正午,1,59,0.7694,3,3,0,True,False,讨伐令,正午，芦苇之国传来消息，溺影正在瀑布下的水潭等待着挑战者。
LLM,Boss,64,42064,瀑布下的水潭,溺影,正午,1,195,0.5182,3,2,4066,True,False,正午的溺影,正午的烈日高悬，瀑布水潭边弥漫着诡异的水雾。传闻曾有痴迷不死之水的村民，在饮下瀑布之水后化为水鬼，潜伏于潭底，名为“溺影”。它因瀑布的“不死”力量而疯狂，将任何靠近者拖入水中。影子追踪至此，感受到水面下涌动的恶意。
Template,Boss,65,42065,断崖边的栈道,枯苇之主,黄昏,1,39,1.0,1,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,65,42065,断崖边的栈道,枯苇之主,黄昏,1,54,0.9707,3,3,0,True,False,生死之约,黄昏，神子神色凝重地告知，枯苇之主挡在了通往断崖边的栈道深处的路上。
LLM,Boss,65,42065,断崖边的栈道,枯苇之主,黄昏,1,233,0.5018,3,3,5572,True,False,枯苇黄昏,断崖边的栈道在暮色中显得苍凉，远处传来瀑布的轰鸣。枯苇之主，一位因饮下瀑布之水而化为怪物的昔日国主，此刻正伫立在栈道尽头。它的身躯由枯黄的芦苇与不死的血肉交织而成，眼中闪烁着疯狂的渴望。黄昏的光线斜照，将它的影子拉长，仿佛在诉说这片土地上永无止境的诅咒。你必须穿越栈道，击败它，才能继续追寻神子的踪迹。
Template,Boss,66,42066,瀑布下的水潭,无首骑将,雨夜,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,66,42066,瀑布下的水潭,无首骑将,雨夜,1,50,0.8853,3,3,0,True,False,讨伐令,雨夜，山中猎户惊惶来报，名为无首骑将的强敌正盘踞瀑布下的水潭。
LLM,Boss,66,42066,瀑布下的水潭,无首骑将,雨夜,1,171,0.5478,3,3,3922,True,False,斩断不死之骑,雨夜，瀑布下的水潭泛着诡异的银光。饮下不死水的骑将已化作无首的怪物，在潭边徘徊。它生前是芦苇之国的猛将，如今却沦为不死的傀儡。影子必须击败它，才能逼近那扭曲的源头——瀑布之水，以及被困的神子。
Template,Boss,67,42067,断崖边的栈道,沉泉将军,拂晓时分,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,67,42067,断崖边的栈道,沉泉将军,拂晓时分,1,56,0.7608,3,3,0,True,False,生死之约,拂晓时分，芦苇之国传来消息，沉泉将军已现身于断崖边的栈道。
LLM,Boss,67,42067,断崖边的栈道,沉泉将军,拂晓时分,1,150,0.6627,3,3,3878,True,False,拂晓的断崖决斗,拂晓时分，你踏上了断崖边的栈道。晨雾弥漫，脚下是深渊，前方是沉泉将军——他曾是芦苇之国的勇士，如今却因饮下瀑布之水而化为嗜血怪物。他咆哮着挡住了去路，你必须击败他才能继续追寻神子。
Template,Boss,68,42068,瀑布下的水潭,枯苇之主,黄昏,1,39,1.0,1,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,68,42068,瀑布下的水潭,枯苇之主,黄昏,1,52,0.8571,3,3,0,True,False,讨伐令,黄昏，探子拼死带回情报，枯苇之主挡在了通往瀑布下的水潭深处的路上。
LLM,Boss,68,42068,瀑布下的水潭,枯苇之主,黄昏,1,129,0.5899,3,3,3309,True,False,瀑布之下的黄昏对决,黄昏时分，你抵达瀑布下的水潭。水面上漂浮着枯萎的芦苇，枯苇之主正立于潭中，它曾是追求不死的国人，如今化为怪物守护着那被诅咒的泉水。你需要击败它，才能继续前进。
Template,Boss,69,42069,被焚毁的村落,白骨僧,深夜,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,69,42069,被焚毁的村落,白骨僧,深夜,1,52,0.8554,3,3,0,True,False,生死之约,深夜，山中猎户惊惶来报，白骨僧的踪迹在被焚毁的村落被发现。
LLM,Boss,69,42069,被焚毁的村落,白骨僧,深夜,1,195,0.1873,3,2,4709,True,False,夜火殘骨,深夜，你潛入被焚毀的村落。餘燼未熄，空氣中滿是焦土與屍臭。一名身披白骨甲冑的僧侶立在廢墟中央，月光下，他扭曲的形體散發著瀑布之水的詭異氣息——顯然已為了永生而捨棄人性。他低吼著，彷彿在守護什麼，又或是被不死詛咒折磨的亡魂。
Template,Boss,70,42070,芦苇城下,沉泉将军,大雪初霁,1,39,1.0,1,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,70,42070,芦苇城下,沉泉将军,大雪初霁,1,43,0.8801,3,3,0,True,False,讨伐令,大雪初霁，寺中钟声骤响，沉泉将军已现身于芦苇城下。
LLM,Boss,70,42070,芦苇城下,沉泉将军,大雪初霁,1,186,0.4618,3,3,4975,True,False,沉泉将军之殇,大雪初霁，芦苇城下的雪地覆盖着新生。然而，那位曾以将军之身守卫芦苇之国的武士，早已因贪恋永生之水而化为怪物。他徘徊于城下，失去理智，将任何靠近者视为亵渎。影子，你必须击倒这昔日的守护者，否则他将阻挡你前往神子所在之处。
Template,Boss,71,42071,被焚毁的村落,溺影,正午,1,39,1.0,0,0,0,True,False,头目讨伐,一名强敌出现在芦苇之国境内，将其击败。
TemplateRandom,Boss,71,42071,被焚毁的村落,溺影,正午,1,63,0.8034,3,3,0,True,False,斩首任务,正午，探子拼死带回情报，溺影正在被焚毁的村落等待着挑战者。
LLM,Boss,71,42071,被焚毁的村落,溺影,正午,1,193,0.4953,3,2,5887,True,False,正午的复仇之火,芦苇之国的村落被焚毁，浓烟遮蔽了正午的日光。你在焦黑的废墟中穿行，忽然，一道扭曲的身影从火焰余烬中站起——那是溺影，一个因过度饮用不死之水而失去理智的昔日武士。他眼中闪烁着疯狂的光芒，嘶吼着向你扑来。看来，斩断不死的道路，必须先从这些被诅咒的怪物身上踏过。
